customs_office_id,name,country,street_and_address,postcode,city,latitude,longitude
SESTP124,Tunadal,SE,Box12854,SE-11298,Stockholm,59.3251172,18.0710935
SESTP125,Visby,SE,Färjeleden 2,62157,Visby,57.6348032,18.2835394
SESTP126,Norvik,SE,Norvik Nynäshamn,14945,Norvik,58.9368062,17.9624592
SI000010,GENERALNI FINANČNI URAD,SI,ŠMARTINSKA 55,SI-1523,LJUBLJANA,46.0644991,14.5274412
SI001000,LJUBLJANA,SI,DAVČNA ULICA 1,SI-1001,LJUBLJANA,46.0654004,14.5267988
SI001026,KRANJ,SI,KOLODVORSKA 4,SI-4000,KRANJ,46.2401036,14.3493846
SI001034,LETALIŠČE BRNIK,SI,Zgornji Brnik 130D,SI-4210,BRNIK AERODROM,46.2388342,14.4849565
SI001042,POŠTNIH POŠILJK,SI,CESTA V MESTNI LOG 81,SI-1000,LJUBLJANA,46.0332772,14.4789471
SI001050,NOVO MESTO,SI,ČEŠČA VAS 40,SI-8000,NOVO MESTO,45.7972122,15.1268434
SI001115,METLIKA,SI,CESTA BRATSTVA IN ENOTNOSTI 97,SI-8330,METLIKA,45.636364,15.3228766
SI001123,OBREŽJE,SI,OBREŽJE 26,SI-8261,JESENICE NA DOLENJSKEM,45.8520907,15.6892871
SI001800,ODDELEK ZA TROŠARINE LJUBLJANA,SI,ŠMARTINSKA 152 A,SI-1524,LJUBLJANA,46.0658534,14.5479394
SI001850,ODDELEK ZA TROŠARINE NOVO MESTO,SI,KOČARJEVA 1,SI-8000,NOVO MESTO,45.8040475,15.1696684
SI001913,LJUBLJANA,SI,LETALIŠKA 16,SI-1000,LJUBLJANA,46.3601984,14.1649566
SI002006,CELJE,SI,AŠKERČEVA ULICA 12,SI-3100,CELJE,46.5643308,15.6524697
SI002022,CELJE,SI,KIDRIČEVA ULICA 36,SI-3102,CELJE,46.5587541,16.4576483
SI002800,ODDELEK ZA TROŠARINE CELJE,SI,KIDRIČEVA 36,SI-3000,CELJE,46.2283669,15.637931
SI003001,NOVO MESTO,SI,KANDIJSKA CESTA 21,SI-8000,NOVO MESTO,45.8008651,15.1726191
SI003053,DRAVOGRAD,SI,OTIŠKI VRH 25,SI-2373,ŠENTJANŽ PRI DRAVOGRADU,46.5726748,15.0251113
SI003800,ODDELEK ZA TROŠARINE DRAVOGRAD,SI,OTIŠKI VRH 25,SI-2373,ŠENTJANŽ PRI DRAVOGRADU,46.5726748,15.0251113
SI003850,ODDELEK ZA TROŠARINE OBREŽJE,SI,OBREŽJE 26,SI-8261,JESENICE NA DOLENJSKEM,45.8520907,15.6892871
SI004009,MURSKA SOBOTA,SI,SLOMŠKOVA ULICA 1,SI-9001,MURSKA SOBOTA,46.6577561,16.168978
SI004017,MURSKA SOBOTA,SI,NEMČAVCI 1 D,SI-9000,MURSKA SOBOTA,46.6693582,16.1787678
SI004800,ODDELEK ZA TROŠARINE MURSKA SOBOTA,SI,NEMČAVCI 1 D,SI-9000,MURSKA SOBOTA,46.6693582,16.1787678
SI005001,KRANJ,SI,KOROŠKA CESTA 21,SI-4000,KRANJ,46.2432913,14.3549353
SI005080,JESENICE,SI,SPODNJI PLAVŽ 6 C,SI-4270,JESENICE,46.4444088,14.0292362
SI005800,"SEKTOR ZA TROŠARINE, OD CBAM KRANJ",SI,SPODNJI PLAVŽ 6 C,SI-4270,JESENICE,46.4444088,14.0292362
SI006001,KOPER,SI,PIRANSKA CESTA 2,SI-6000,KOPER,45.5446494,13.7257466
SI006036,KOPER,SI,VOJKOVO NABREŽJE 36,SI-6104,KOPER,45.5485281,13.7401288
SI006044,LUKA KOPER,SI,VOJKOVO NABREŽJE 36,SI-6104,KOPER,45.5485281,13.7401288
SI006090,OBMORSKI MEJNI PREHOD PIRAN,SI,DANTEJEVA ULICA 2,SI-6330,PIRAN,45.5252365,13.567271
SI006170,MEJNI PREHOD LETALIŠČE PORTOROŽ,SI,SEČOVLJE 19,SI-6333,SEČOVLJE,45.474352,13.6168016
SI006800,ODDELEK ZA TROŠARINE KOPER,SI,VOJKOVO NABREŽJE 36,SI-6104,KOPER,45.5485281,13.7401288
SI007008,MARIBOR,SI,TRŽAŠKA C. 49,SI-2000,MARIBOR,46.5255562,15.6487715
SI007040,MEJNI PREHOD LETALIŠČE MARIBOR,SI,OREHOVA VAS 10 A,SI-2312,OREHOVA VAS,46.4712106,15.6668287
SI007067,MARIBOR,SI,TRŽAŠKA CESTA 49,SI-2000,MARIBOR,46.5255562,15.6487715
SI007075,GRUŠKOVJE,SI,ZGORNJE GRUŠKOVJE 19,SI-2285,PODLEHNIK,46.2952279,15.8860725
SI007800,ODDELEK ZA TROŠARINE MARIBOR,SI,TRŽAŠKA 49,SI-2000,MARIBOR,46.5255562,15.6487715
SI008004,NOVA GORICA,SI,ULICA GRADNIKOVE BRIGADE 2,SI-5000,NOVA GORICA,45.9579253,13.6472886
SI008005,CENTRAL TRANSIT OFFICE,SI,MEDNARODNI PREHOD 2B,SI-5290,ŠEMPETER PRI GORICI,45.9189137,13.623208
SI008071,IDRIJA,SI,SPODNJA KANOMLJA 23 B,SI-5281,SPODNJA IDRIJA,46.0346148,14.0123848
SI008128,VRTOJBA,SI,MEDNARODNI PREHOD 2 B,SI-5290,ŠEMPETER PRI GORICI,45.9189137,13.623208
SI008800,ODDELEK ZA TROŠARINE NOVA GORICA,SI,MEDNARODNI PREHOD 2 B,SI-5290,ŠEMPETER PRI GORICI,45.9189137,13.623208
SI009043,SEŽANA,SI,PARTIZANSKA 81,SI-6210,SEŽANA,46.0512021,14.124609
